,Link,route_length,base_route
55,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/announcement/view/14,6,https://rmrj.usjr.edu.ph/
56,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/announcement/view/16,6,https://rmrj.usjr.edu.ph/
57,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/announcement/view/17,6,https://rmrj.usjr.edu.ph/
58,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/announcement/view/3,6,https://rmrj.usjr.edu.ph/
59,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/announcement/view/4,6,https://rmrj.usjr.edu.ph/
60,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/announcement/view/5,6,https://rmrj.usjr.edu.ph/
61,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/announcement/view/7,6,https://rmrj.usjr.edu.ph/
62,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/announcement/view/8,6,https://rmrj.usjr.edu.ph/
63,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/100,6,https://rmrj.usjr.edu.ph/
64,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/101,6,https://rmrj.usjr.edu.ph/
65,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1011,6,https://rmrj.usjr.edu.ph/
66,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/102,6,https://rmrj.usjr.edu.ph/
67,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1022,6,https://rmrj.usjr.edu.ph/
68,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1027,6,https://rmrj.usjr.edu.ph/
69,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1044,6,https://rmrj.usjr.edu.ph/
70,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1047,6,https://rmrj.usjr.edu.ph/
71,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/106,6,https://rmrj.usjr.edu.ph/
72,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1061,6,https://rmrj.usjr.edu.ph/
73,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1063,6,https://rmrj.usjr.edu.ph/
74,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/107,6,https://rmrj.usjr.edu.ph/
75,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1070,6,https://rmrj.usjr.edu.ph/
76,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1071,6,https://rmrj.usjr.edu.ph/
77,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/108,6,https://rmrj.usjr.edu.ph/
78,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1086,6,https://rmrj.usjr.edu.ph/
79,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1087,6,https://rmrj.usjr.edu.ph/
80,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/109,6,https://rmrj.usjr.edu.ph/
81,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/110,6,https://rmrj.usjr.edu.ph/
82,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/111,6,https://rmrj.usjr.edu.ph/
83,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/112,6,https://rmrj.usjr.edu.ph/
84,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/113,6,https://rmrj.usjr.edu.ph/
85,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1130,6,https://rmrj.usjr.edu.ph/
86,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/114,6,https://rmrj.usjr.edu.ph/
87,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1147,6,https://rmrj.usjr.edu.ph/
88,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/115,6,https://rmrj.usjr.edu.ph/
89,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/116,6,https://rmrj.usjr.edu.ph/
90,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/117,6,https://rmrj.usjr.edu.ph/
91,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/118,6,https://rmrj.usjr.edu.ph/
92,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1181,6,https://rmrj.usjr.edu.ph/
93,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1188,6,https://rmrj.usjr.edu.ph/
94,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/12,6,https://rmrj.usjr.edu.ph/
95,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/120,6,https://rmrj.usjr.edu.ph/
96,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1200,6,https://rmrj.usjr.edu.ph/
97,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1205,6,https://rmrj.usjr.edu.ph/
98,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1206,6,https://rmrj.usjr.edu.ph/
99,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/121,6,https://rmrj.usjr.edu.ph/
100,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1211,6,https://rmrj.usjr.edu.ph/
101,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1212,6,https://rmrj.usjr.edu.ph/
102,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1215,6,https://rmrj.usjr.edu.ph/
103,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1219,6,https://rmrj.usjr.edu.ph/
104,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/122,6,https://rmrj.usjr.edu.ph/
105,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1220,6,https://rmrj.usjr.edu.ph/
106,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1221,6,https://rmrj.usjr.edu.ph/
107,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1222,6,https://rmrj.usjr.edu.ph/
108,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1229,6,https://rmrj.usjr.edu.ph/
109,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/127,6,https://rmrj.usjr.edu.ph/
110,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/128,6,https://rmrj.usjr.edu.ph/
111,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/129,6,https://rmrj.usjr.edu.ph/
112,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/13,6,https://rmrj.usjr.edu.ph/
113,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/130,6,https://rmrj.usjr.edu.ph/
114,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/131,6,https://rmrj.usjr.edu.ph/
115,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1320,6,https://rmrj.usjr.edu.ph/
116,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1322,6,https://rmrj.usjr.edu.ph/
117,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1328,6,https://rmrj.usjr.edu.ph/
118,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/133,6,https://rmrj.usjr.edu.ph/
119,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/135,6,https://rmrj.usjr.edu.ph/
120,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1351,6,https://rmrj.usjr.edu.ph/
121,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/14,6,https://rmrj.usjr.edu.ph/
122,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1407,6,https://rmrj.usjr.edu.ph/
123,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1408,6,https://rmrj.usjr.edu.ph/
124,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1413,6,https://rmrj.usjr.edu.ph/
125,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/1414,6,https://rmrj.usjr.edu.ph/
126,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/146,6,https://rmrj.usjr.edu.ph/
127,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/15,6,https://rmrj.usjr.edu.ph/
128,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/16,6,https://rmrj.usjr.edu.ph/
129,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/162,6,https://rmrj.usjr.edu.ph/
130,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/163,6,https://rmrj.usjr.edu.ph/
131,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/165,6,https://rmrj.usjr.edu.ph/
132,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/169,6,https://rmrj.usjr.edu.ph/
133,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/17,6,https://rmrj.usjr.edu.ph/
134,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/172,6,https://rmrj.usjr.edu.ph/
135,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/173,6,https://rmrj.usjr.edu.ph/
136,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/18,6,https://rmrj.usjr.edu.ph/
137,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/183,6,https://rmrj.usjr.edu.ph/
138,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/198,6,https://rmrj.usjr.edu.ph/
139,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/199,6,https://rmrj.usjr.edu.ph/
140,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/20,6,https://rmrj.usjr.edu.ph/
141,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/201,6,https://rmrj.usjr.edu.ph/
142,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/202,6,https://rmrj.usjr.edu.ph/
143,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/203,6,https://rmrj.usjr.edu.ph/
144,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/204,6,https://rmrj.usjr.edu.ph/
145,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/205,6,https://rmrj.usjr.edu.ph/
146,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/206,6,https://rmrj.usjr.edu.ph/
147,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/21,6,https://rmrj.usjr.edu.ph/
148,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/210,6,https://rmrj.usjr.edu.ph/
149,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/217,6,https://rmrj.usjr.edu.ph/
150,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/22,6,https://rmrj.usjr.edu.ph/
151,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/23,6,https://rmrj.usjr.edu.ph/
152,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/231,6,https://rmrj.usjr.edu.ph/
153,https://rmrj.usjr.edu.ph/rmrj/index.php/RMRJ/article/view/24,6,https://rmrj.usjr.edu.ph/
